,action_name,accuracy,top_object_0,top_object_1,top_object_2,top_object_3,top_object_4,top_scene_0,top_scene_1,top_scene_2,top_scene_3,top_scene_4
95,UnevenBars,0.0,bar,bar,bar,rough,brittle,wet bar,bar,sushi bar,ice skating rink indoor,ice skating rink outdoor
98,WallPushups,0.0,wall,wall,sandbag,dumbbell,ledge,rock arch,rope bridge,alcove,doorway outdoor,martial arts gym
70,Punch,0.0,punch,punch,haymaker,pack,pack,boxing ring,watering hole,ice cream parlor,ice shelf,ball pit
30,FrisbeeCatch,0.0,catch,Frisbee,ball,ball,ball,ball pit,volleyball court outdoor,soccer field,baseball field,fire escape
100,YoYo,0.0,gat,homegirl,dun,homeboy,takin,childs room,japanese garden,rice paddy,sushi bar,kindergarden classroom
20,CleanAndJerk,0.0,cleaner,well,well,well,mess,clean room,wet bar,engine room,underwater ocean deep,lake natural
18,BreastStroke,0.0,nipple,chest,surgery,heart,neck,swimming hole,hospital,nursing home,elevator shaft,canal natural
17,BoxingSpeedBag,0.0,boxing,bag,bag,bag,duffel,boxing ring,martial arts gym,bowling alley,ball pit,shoe shop
4,BalanceBeam,0.0,balance,balance,beam,light,steelyard,rope bridge,bank vault,bridge,elevator shaft,bow window indoor
9,BenchPress,0.0,bench,press,press,press,dumbbell,conference center,conference room,ball pit,locker room,volleyball court outdoor
23,CricketShot,0.0,cricket,cricket,cricketer,wicket,wicket,bowling alley,football field,ball pit,baseball field,soccer field
12,BlowDryHair,0.007633587786259542,dry,hair,dryer,wig,skin,wet bar,hot spring,shower,beauty salon,desert sand
28,FieldHockeyPenalty,0.007936507936507936,field,field,soccer,lacrosse,football,soccer field,football field,baseball field,arena hockey,field road
39,HighJump,0.008130081300813009,jumping,level,jumper,jumper,spike,rope bridge,bow window indoor,escalator indoor,cliff,underwater ocean deep
90,TaiChi,0.01,guan,gong,,tam,koto,zen garden,martial arts gym,japanese garden,pagoda,temple asia
35,Hammering,0.014285714285714285,hammer,hammer,hammer,bludgeon,chisel,watering hole,lock chamber,swimming hole,elevator door,ball pit
1,ApplyLipstick,0.017543859649122806,lipstick,eyeliner,mascara,eyeshadow,lip-gloss,drugstore,ice cream parlor,beauty salon,clothing store,wet bar
55,Nunchucks,0.030303030303030304,saber,sword,broadsword,machete,quarterstaff,martial arts gym,bowling alley,boxing ring,arcade,rope bridge
96,VolleyballSpiking,0.034482758620689655,volleyball,volleyball,soccer,tennis,softball,volleyball court outdoor,soccer field,basketball court indoor,stadium soccer,football field
57,PizzaTossing,0.035398230088495575,pizza,pasta,lasagna,meatball,flatbread,pizzeria,fastfood restaurant,sushi bar,restaurant kitchen,ice cream parlor
45,JugglingBalls,0.04132231404958678,ball,ball,ball,juggler,croquet,ball pit,soccer field,bowling alley,swimming hole,baseball field
37,HandstandWalking,0.04504504504504504,walk,cartwheel,walker,walker,walker,escalator indoor,crosswalk,rope bridge,doorway outdoor,swimming hole
83,SoccerJuggling,0.061224489795918366,soccer,football,juggler,volleyball,volleyball,stadium soccer,soccer field,football field,stadium football,basketball court indoor
38,HeadMassage,0.07482993197278912,head,head,therapist,neck,body,shower,sauna,ice cream parlor,beauty salon,jacuzzi indoor
8,BasketballDunk,0.09923664122137404,basketball,basketball,dunker,backboard,backboard,basketball court indoor,volleyball court outdoor,arena hockey,athletic field outdoor,soccer field
19,BrushingTeeth,0.12213740458015267,tooth,tooth,brush,toothbrush,floss,clean room,bathroom,watering hole,canal natural,childs room
36,HandstandPushups,0.125,dumbbell,cartwheel,barbell,gymnast,hula-hoop,martial arts gym,rope bridge,boxing ring,shower,sushi bar
24,CuttingInKitchen,0.12727272727272726,kitchen,bathroom,room,cupboard,edge,kitchen,restaurant kitchen,living room,dining room,clean room
82,SkyDiving,0.12727272727272726,dive,swimming,dove,blue,blue,sky,underwater ocean deep,swimming hole,ocean,water tower
78,Shotput,0.14583333333333334,javelin,thrower,judo,athlete,vaulter,athletic field outdoor,baseball field,basketball court indoor,football field,soccer field
74,RopeClimbing,0.15966386554621848,rope,climber,ledge,bungee,jumping,rope bridge,crevasse,cliff,rock arch,staircase
54,MoppingFloor,0.16363636363636364,floor,floor,floor,upstairs,linoleum,basement,clean room,throne room,dressing room,kitchen
97,WalkingWithDog,0.21138211382113822,dog,walk,leash,puppy,pup,kennel outdoor,pet shop,beach house,shopping mall indoor,street
49,Knitting,0.22764227642276422,knit,shawl,sweater,workbasket,afghan,coffee shop,jewelry shop,fabric store,gift shop,beer garden
67,PoleVault,0.22818791946308725,vault,pole,vault,pole,vaulting,bank vault,barn,lock chamber,doorway outdoor,ice shelf
65,PlayingTabla,0.23423423423423423,sitar,violin,flute,guitar,harmonium,music studio,soccer field,football field,orchestra pit,baseball field
99,WritingOnBoard,0.23684210526315788,board,board,board,drawing,blackboard,art school,computer room,landing deck,boat deck,television room
3,BabyCrawling,0.30303030303030304,baby,baby,crib,crib,bassinet,nursery,childs room,shower,playroom,hospital room
52,MilitaryParade,0.312,soldier,reservist,marshal,colonel,regalia,army base,museum outdoor,church outdoor,bazaar outdoor,airfield
48,Kayaking,0.3120567375886525,kayak,snorkeling,water-skiing,canoe,fly-fishing,swimming pool outdoor,river,swimming pool indoor,hunting lodge outdoor,swimming hole
16,BoxingPunchingBag,0.3128834355828221,boxing,boxer,boxer,punch,punch,boxing ring,martial arts gym,stadium baseball,arena hockey,swimming hole
42,HulaHoop,0.32,hula-hoop,trampoline,gymnastics,tetherball,basketball,basketball court indoor,volleyball court outdoor,ball pit,windmill,rope bridge
53,Mixing,0.34558823529411764,mixer,mixer,recording,mash,blender,music studio,dressing room,chemistry lab,art studio,physics laboratory
21,CliffDiving,0.36231884057971014,cliff,dive,precipice,ledge,snorkeling,cliff,underwater ocean deep,swimming hole,rope bridge,ocean
14,BodyWeightSquats,0.4107142857142857,weight,weight,body,body,body,martial arts gym,shed,boxing ring,sauna,train interior
13,BlowingCandles,0.41284403669724773,candle,shofar,torch,wick,snuffer,wind farm,fire escape,shower,bow window indoor,fire station
77,ShavingBeard,0.4472049689440994,beard,beard,hair,razor,shaver,ice cream parlor,shower,beauty salon,wet bar,ice skating rink outdoor
27,Fencing,0.46846846846846846,fence,epee,singlestick,archery,gazebo,roof garden,topiary garden,gazebo exterior,lawn,athletic field outdoor
22,CricketBowling,0.4748201438848921,cricket,cricket,cricketer,wicket,wicket,bowling alley,stadium baseball,football field,baseball field,stadium soccer
7,Basketball,0.47761194029850745,basketball,basketball,volleyball,volleyball,soccer,basketball court indoor,volleyball court outdoor,stadium soccer,stadium football,soccer field
29,FloorGymnastics,0.48,gymnastics,floor,floor,floor,gymnast,gymnasium indoor,ballroom,basketball court indoor,volleyball court outdoor,escalator indoor
66,PlayingViolin,0.48,violin,piano,cello,clarinet,flute,music studio,orchestra pit,soccer field,volleyball court outdoor,football field
88,Swing,0.5114503816793893,swing,pendulum,ball,ball,ball,ball pit,rope bridge,porch,bowling alley,golf course
41,HorseRiding,0.5304878048780488,horse,horse,riding,rider,ride,arena rodeo,barn,pasture,wind farm,corral
91,TennisSwing,0.5481927710843374,tennis,swing,badminton,golf,croquet,volleyball court outdoor,basketball court indoor,ball pit,swimming pool outdoor,golf course
94,Typing,0.5588235294117647,keyboard,typewriter,computer,laptop,mouse,computer room,waiting room,loading dock,office cubicles,server room
5,BandMarching,0.567741935483871,band,band,drummer,guitarist,bandsman,music studio,rock arch,orchestra pit,army base,stadium football
2,Archery,0.5724137931034483,archery,archer,crossbow,longbow,rifle,hunting lodge outdoor,bow window indoor,volleyball court outdoor,athletic field outdoor,martial arts gym
84,SoccerPenalty,0.6058394160583942,soccer,handball,handball,football,lacrosse,stadium soccer,soccer field,stadium football,football field,arena hockey
62,PlayingGuitar,0.6125,guitar,violin,piano,harmonica,banjo,music studio,soccer field,football field,stadium soccer,orchestra pit
33,Haircut,0.6461538461538462,hairdresser,hair,beard,beard,stylist,beauty salon,shower,clothing store,laundromat,bathroom
26,Drumming,0.6708074534161491,drum,drum,drummer,percussionist,bongo,music studio,martial arts gym,art studio,rock arch,orchestra pit
0,ApplyEyeMakeup,0.6758620689655173,makeup,eyeliner,eyeshadow,mascara,lipstick,beauty salon,drugstore,ice cream parlor,candy store,clothing store
93,TrampolineJumping,0.6890756302521008,trampoline,jumping,bungee,gymnastics,swimming,swimming pool indoor,swimming pool outdoor,swimming hole,playground,escalator indoor
72,Rafting,0.7027027027027027,canoe,kayak,raft,snorkeling,fly-fishing,river,raft,canyon,hunting lodge outdoor,swimming pool outdoor
61,PlayingFlute,0.7419354838709677,flute,violin,clarinet,piano,harp,music studio,soccer field,orchestra pit,football field,volleyball court outdoor
58,PlayingCello,0.7682926829268293,cello,violin,piano,clarinet,oboe,music studio,orchestra pit,soccer field,volleyball court outdoor,ice skating rink outdoor
25,Diving,0.78,dive,swimming,snorkeling,snorkel,snorkel,underwater ocean deep,swimming hole,swimming pool outdoor,swimming pool indoor,ocean
80,Skiing,0.7851851851851852,skiing,skier,snowboard,sledding,tobogganing,ski resort,ski slope,ice skating rink outdoor,mountain snowy,chalet
43,IceDancing,0.7911392405063291,ice,skating,dancer,dancer,rink,ice skating rink outdoor,ice skating rink indoor,ice floe,ice cream parlor,ice shelf
40,HorseRace,0.8145161290322581,horse,horse,racing,thoroughbred,thoroughbred,racecourse,corral,arena rodeo,barn,railroad track
63,PlayingPiano,0.8285714285714286,piano,violin,clarinet,guitar,cello,music studio,orchestra pit,soccer field,volleyball court outdoor,basketball court indoor
79,SkateBoarding,0.8416666666666667,skate,skate,skating,skateboard,skateboarding,ice skating rink outdoor,ice skating rink indoor,ski resort,art school,ski slope
64,PlayingSitar,0.8598726114649682,sitar,guitar,violin,harmonica,harmonium,music studio,football field,soccer field,orchestra pit,stadium soccer
10,Biking,0.8731343283582089,bicycling,cycling,bicycle,motorcycling,skiing,mountain,mountain path,mountain snowy,swimming pool outdoor,ice skating rink outdoor
6,BaseballPitch,0.8866666666666667,baseball,baseball,softball,softball,bat,stadium baseball,baseball field,stadium soccer,stadium football,soccer field
75,Rowing,0.9051094890510949,rowing,boathouse,scull,swimming,canoe,boathouse,swimming pool indoor,boat deck,swimming pool outdoor,swimming hole
86,SumoWrestling,0.9051724137931034,sumo,wrestling,boxing,judo,boxer,boxing ring,arena hockey,martial arts gym,arena rodeo,volleyball court outdoor
32,GolfSwing,0.9064748201438849,golf,swing,golfer,putter,croquet,golf course,ball pit,swimming hole,volleyball court outdoor,baseball field
87,Surfing,0.9126984126984127,surfing,skateboarding,snorkeling,beach,web,beach,ocean,swimming pool outdoor,wave,swimming pool indoor
15,Bowling,0.9741935483870968,cricket,cricket,croquet,wicket,wicket,bowling alley,ball pit,ice skating rink indoor,ice skating rink outdoor,swimming hole
11,Billiards,1.0,shuffleboard,racquetball,racquetball,poolroom,croquet,arcade,amusement arcade,swimming pool indoor,swimming pool outdoor,recreation room
