,action_name,accuracy,top_object_0,top_object_1,top_object_2,top_object_3,top_object_4,top_scene_0,top_scene_1,top_scene_2,top_scene_3,top_scene_4
85,StillRings,0.0,still,ring,ring,remains,bell,boxing ring,jewelry shop,rope bridge,waiting room,phone booth
84,SoccerPenalty,0.0,soccer,handball,handball,football,lacrosse,stadium soccer,soccer field,stadium football,football field,arena hockey
89,TableTennisShot,0.0,tennis,table,table,volleyball,volleyball,volleyball court outdoor,basketball court indoor,bow window indoor,ball pit,swimming pool outdoor
90,TaiChi,0.0,guan,gong,,tam,koto,zen garden,martial arts gym,japanese garden,pagoda,temple asia
92,ThrowDiscus,0.0,javelin,thrower,monkey-wrench,hammer,hammer,ball pit,athletic field outdoor,baseball field,bow window indoor,wheat field
81,Skijet,0.0,jet,skiing,snowboard,skier,snowmobile,ski resort,ski slope,airplane cabin,chalet,hunting lodge outdoor
95,UnevenBars,0.0,bar,bar,bar,rough,brittle,wet bar,bar,sushi bar,ice skating rink indoor,ice skating rink outdoor
15,Bowling,0.0,cricket,cricket,croquet,wicket,wicket,bowling alley,ball pit,ice skating rink indoor,ice skating rink outdoor,swimming hole
76,SalsaSpin,0.0,salsa,guacamole,tostada,enchilada,hummus,ball pit,bowling alley,ballroom,ice cream parlor,sushi bar
9,BenchPress,0.00625,bench,press,press,press,dumbbell,conference center,conference room,ball pit,locker room,volleyball court outdoor
83,SoccerJuggling,0.006802721088435374,soccer,football,juggler,volleyball,volleyball,stadium soccer,soccer field,football field,stadium football,basketball court indoor
28,FieldHockeyPenalty,0.007936507936507936,field,field,soccer,lacrosse,football,soccer field,football field,baseball field,arena hockey,field road
39,HighJump,0.008130081300813009,jumping,level,jumper,jumper,spike,rope bridge,bow window indoor,escalator indoor,cliff,underwater ocean deep
38,HeadMassage,0.013605442176870748,head,head,therapist,neck,body,shower,sauna,ice cream parlor,beauty salon,jacuzzi indoor
17,BoxingSpeedBag,0.014925373134328358,boxing,bag,bag,bag,duffel,boxing ring,martial arts gym,bowling alley,ball pit,shoe shop
57,PizzaTossing,0.017699115044247787,pizza,pasta,lasagna,meatball,flatbread,pizzeria,fastfood restaurant,sushi bar,restaurant kitchen,ice cream parlor
24,CuttingInKitchen,0.01818181818181818,kitchen,bathroom,room,cupboard,edge,kitchen,restaurant kitchen,living room,dining room,clean room
82,SkyDiving,0.02727272727272727,dive,swimming,dove,blue,blue,sky,underwater ocean deep,swimming hole,ocean,water tower
98,WallPushups,0.03076923076923077,wall,wall,sandbag,dumbbell,ledge,rock arch,rope bridge,alcove,doorway outdoor,martial arts gym
37,HandstandWalking,0.036036036036036036,walk,cartwheel,walker,walker,walker,escalator indoor,crosswalk,rope bridge,doorway outdoor,swimming hole
12,BlowDryHair,0.03816793893129771,dry,hair,dryer,wig,skin,wet bar,hot spring,shower,beauty salon,desert sand
44,JavelinThrow,0.042735042735042736,javelin,thrower,grenade,monkey-wrench,dart,ball pit,baseball field,athletic field outdoor,bow window indoor,football field
7,Basketball,0.06716417910447761,basketball,basketball,volleyball,volleyball,soccer,basketball court indoor,volleyball court outdoor,stadium soccer,stadium football,soccer field
55,Nunchucks,0.06818181818181818,saber,sword,broadsword,machete,quarterstaff,martial arts gym,bowling alley,boxing ring,arcade,rope bridge
50,LongJump,0.06870229007633588,jumping,down,walk,hurdle,rope,rope bridge,waiting room,underwater ocean deep,cliff,hot spring
45,JugglingBalls,0.0743801652892562,ball,ball,ball,juggler,croquet,ball pit,soccer field,bowling alley,swimming hole,baseball field
74,RopeClimbing,0.07563025210084033,rope,climber,ledge,bungee,jumping,rope bridge,crevasse,cliff,rock arch,staircase
78,Shotput,0.09027777777777778,javelin,thrower,judo,athlete,vaulter,athletic field outdoor,baseball field,basketball court indoor,football field,soccer field
16,BoxingPunchingBag,0.1165644171779141,boxing,boxer,boxer,punch,punch,boxing ring,martial arts gym,stadium baseball,arena hockey,swimming hole
54,MoppingFloor,0.11818181818181818,floor,floor,floor,upstairs,linoleum,basement,clean room,throne room,dressing room,kitchen
1,ApplyLipstick,0.14035087719298245,lipstick,eyeliner,mascara,eyeshadow,lip-gloss,drugstore,ice cream parlor,beauty salon,clothing store,wet bar
21,CliffDiving,0.17391304347826086,cliff,dive,precipice,ledge,snorkeling,cliff,underwater ocean deep,swimming hole,rope bridge,ocean
36,HandstandPushups,0.1796875,dumbbell,cartwheel,barbell,gymnast,hula-hoop,martial arts gym,rope bridge,boxing ring,shower,sushi bar
65,PlayingTabla,0.21621621621621623,sitar,violin,flute,guitar,harmonium,music studio,soccer field,football field,orchestra pit,baseball field
96,VolleyballSpiking,0.25,volleyball,volleyball,soccer,tennis,softball,volleyball court outdoor,soccer field,basketball court indoor,stadium soccer,football field
53,Mixing,0.2647058823529412,mixer,mixer,recording,mash,blender,music studio,dressing room,chemistry lab,art studio,physics laboratory
97,WalkingWithDog,0.2682926829268293,dog,walk,leash,puppy,pup,kennel outdoor,pet shop,beach house,shopping mall indoor,street
42,HulaHoop,0.28,hula-hoop,trampoline,gymnastics,tetherball,basketball,basketball court indoor,volleyball court outdoor,ball pit,windmill,rope bridge
3,BabyCrawling,0.2803030303030303,baby,baby,crib,crib,bassinet,nursery,childs room,shower,playroom,hospital room
19,BrushingTeeth,0.3053435114503817,tooth,tooth,brush,toothbrush,floss,clean room,bathroom,watering hole,canal natural,childs room
52,MilitaryParade,0.312,soldier,reservist,marshal,colonel,regalia,army base,museum outdoor,church outdoor,bazaar outdoor,airfield
5,BandMarching,0.3419354838709677,band,band,drummer,guitarist,bandsman,music studio,rock arch,orchestra pit,army base,stadium football
72,Rafting,0.36936936936936937,canoe,kayak,raft,snorkeling,fly-fishing,river,raft,canyon,hunting lodge outdoor,swimming pool outdoor
77,ShavingBeard,0.37267080745341613,beard,beard,hair,razor,shaver,ice cream parlor,shower,beauty salon,wet bar,ice skating rink outdoor
99,WritingOnBoard,0.375,board,board,board,drawing,blackboard,art school,computer room,landing deck,boat deck,television room
14,BodyWeightSquats,0.39285714285714285,weight,weight,body,body,body,martial arts gym,shed,boxing ring,sauna,train interior
67,PoleVault,0.46308724832214765,vault,pole,vault,pole,vaulting,bank vault,barn,lock chamber,doorway outdoor,ice shelf
48,Kayaking,0.475177304964539,kayak,snorkeling,water-skiing,canoe,fly-fishing,swimming pool outdoor,river,swimming pool indoor,hunting lodge outdoor,swimming hole
40,HorseRace,0.5080645161290323,horse,horse,racing,thoroughbred,thoroughbred,racecourse,corral,arena rodeo,barn,railroad track
33,Haircut,0.5153846153846153,hairdresser,hair,beard,beard,stylist,beauty salon,shower,clothing store,laundromat,bathroom
49,Knitting,0.5365853658536586,knit,shawl,sweater,workbasket,afghan,coffee shop,jewelry shop,fabric store,gift shop,beer garden
6,BaseballPitch,0.54,baseball,baseball,softball,softball,bat,stadium baseball,baseball field,stadium soccer,stadium football,soccer field
41,HorseRiding,0.5426829268292683,horse,horse,riding,rider,ride,arena rodeo,barn,pasture,wind farm,corral
29,FloorGymnastics,0.544,gymnastics,floor,floor,floor,gymnast,gymnasium indoor,ballroom,basketball court indoor,volleyball court outdoor,escalator indoor
13,BlowingCandles,0.5596330275229358,candle,shofar,torch,wick,snuffer,wind farm,fire escape,shower,bow window indoor,fire station
22,CricketBowling,0.5611510791366906,cricket,cricket,cricketer,wicket,wicket,bowling alley,stadium baseball,football field,baseball field,stadium soccer
63,PlayingPiano,0.5619047619047619,piano,violin,clarinet,guitar,cello,music studio,orchestra pit,soccer field,volleyball court outdoor,basketball court indoor
93,TrampolineJumping,0.5882352941176471,trampoline,jumping,bungee,gymnastics,swimming,swimming pool indoor,swimming pool outdoor,swimming hole,playground,escalator indoor
2,Archery,0.593103448275862,archery,archer,crossbow,longbow,rifle,hunting lodge outdoor,bow window indoor,volleyball court outdoor,athletic field outdoor,martial arts gym
0,ApplyEyeMakeup,0.593103448275862,makeup,eyeliner,eyeshadow,mascara,lipstick,beauty salon,drugstore,ice cream parlor,candy store,clothing store
25,Diving,0.6266666666666667,dive,swimming,snorkeling,snorkel,snorkel,underwater ocean deep,swimming hole,swimming pool outdoor,swimming pool indoor,ocean
27,Fencing,0.6306306306306306,fence,epee,singlestick,archery,gazebo,roof garden,topiary garden,gazebo exterior,lawn,athletic field outdoor
88,Swing,0.6870229007633588,swing,pendulum,ball,ball,ball,ball pit,rope bridge,porch,bowling alley,golf course
8,BasketballDunk,0.7022900763358778,basketball,basketball,dunker,backboard,backboard,basketball court indoor,volleyball court outdoor,arena hockey,athletic field outdoor,soccer field
91,TennisSwing,0.7469879518072289,tennis,swing,badminton,golf,croquet,volleyball court outdoor,basketball court indoor,ball pit,swimming pool outdoor,golf course
80,Skiing,0.7481481481481481,skiing,skier,snowboard,sledding,tobogganing,ski resort,ski slope,ice skating rink outdoor,mountain snowy,chalet
26,Drumming,0.7577639751552795,drum,drum,drummer,percussionist,bongo,music studio,martial arts gym,art studio,rock arch,orchestra pit
62,PlayingGuitar,0.79375,guitar,violin,piano,harmonica,banjo,music studio,soccer field,football field,stadium soccer,orchestra pit
61,PlayingFlute,0.8,flute,violin,clarinet,piano,harp,music studio,soccer field,orchestra pit,football field,volleyball court outdoor
94,Typing,0.8308823529411765,keyboard,typewriter,computer,laptop,mouse,computer room,waiting room,loading dock,office cubicles,server room
10,Biking,0.8507462686567164,bicycling,cycling,bicycle,motorcycling,skiing,mountain,mountain path,mountain snowy,swimming pool outdoor,ice skating rink outdoor
79,SkateBoarding,0.875,skate,skate,skating,skateboard,skateboarding,ice skating rink outdoor,ice skating rink indoor,ski resort,art school,ski slope
32,GolfSwing,0.8848920863309353,golf,swing,golfer,putter,croquet,golf course,ball pit,swimming hole,volleyball court outdoor,baseball field
64,PlayingSitar,0.8853503184713376,sitar,guitar,violin,harmonica,harmonium,music studio,football field,soccer field,orchestra pit,stadium soccer
86,SumoWrestling,0.9051724137931034,sumo,wrestling,boxing,judo,boxer,boxing ring,arena hockey,martial arts gym,arena rodeo,volleyball court outdoor
87,Surfing,0.9206349206349206,surfing,skateboarding,snorkeling,beach,web,beach,ocean,swimming pool outdoor,wave,swimming pool indoor
58,PlayingCello,0.9329268292682927,cello,violin,piano,clarinet,oboe,music studio,orchestra pit,soccer field,volleyball court outdoor,ice skating rink outdoor
75,Rowing,0.9781021897810219,rowing,boathouse,scull,swimming,canoe,boathouse,swimming pool indoor,boat deck,swimming pool outdoor,swimming hole
11,Billiards,1.0,shuffleboard,racquetball,racquetball,poolroom,croquet,arcade,amusement arcade,swimming pool indoor,swimming pool outdoor,recreation room
