,action_name,accuracy,top_object_0,top_object_1,top_object_2,top_object_3,top_object_4,top_scene_0,top_scene_1,top_scene_2,top_scene_3,top_scene_4
13,BlowingCandles,0.3853211009174312,candle,shofar,torch,wick,snuffer,wind farm,fire escape,shower,bow window indoor,fire station
27,Fencing,0.4144144144144144,fence,epee,singlestick,archery,gazebo,roof garden,topiary garden,gazebo exterior,lawn,athletic field outdoor
72,Rafting,0.42342342342342343,canoe,kayak,raft,snorkeling,fly-fishing,river,raft,canyon,hunting lodge outdoor,swimming pool outdoor
77,ShavingBeard,0.42857142857142855,beard,beard,hair,razor,shaver,ice cream parlor,shower,beauty salon,wet bar,ice skating rink outdoor
66,PlayingViolin,0.48,violin,piano,cello,clarinet,flute,music studio,orchestra pit,soccer field,volleyball court outdoor,football field
94,Typing,0.5073529411764706,keyboard,typewriter,computer,laptop,mouse,computer room,waiting room,loading dock,office cubicles,server room
5,BandMarching,0.5161290322580645,band,band,drummer,guitarist,bandsman,music studio,rock arch,orchestra pit,army base,stadium football
2,Archery,0.5172413793103449,archery,archer,crossbow,longbow,rifle,hunting lodge outdoor,bow window indoor,volleyball court outdoor,athletic field outdoor,martial arts gym
29,FloorGymnastics,0.528,gymnastics,floor,floor,floor,gymnast,gymnasium indoor,ballroom,basketball court indoor,volleyball court outdoor,escalator indoor
7,Basketball,0.5298507462686567,basketball,basketball,volleyball,volleyball,soccer,basketball court indoor,volleyball court outdoor,stadium soccer,stadium football,soccer field
91,TennisSwing,0.5602409638554217,tennis,swing,badminton,golf,croquet,volleyball court outdoor,basketball court indoor,ball pit,swimming pool outdoor,golf course
84,SoccerPenalty,0.5912408759124088,soccer,handball,handball,football,lacrosse,stadium soccer,soccer field,stadium football,football field,arena hockey
62,PlayingGuitar,0.59375,guitar,violin,piano,harmonica,banjo,music studio,soccer field,football field,stadium soccer,orchestra pit
26,Drumming,0.5962732919254659,drum,drum,drummer,percussionist,bongo,music studio,martial arts gym,art studio,rock arch,orchestra pit
25,Diving,0.6066666666666667,dive,swimming,snorkeling,snorkel,snorkel,underwater ocean deep,swimming hole,swimming pool outdoor,swimming pool indoor,ocean
41,HorseRiding,0.6402439024390244,horse,horse,riding,rider,ride,arena rodeo,barn,pasture,wind farm,corral
0,ApplyEyeMakeup,0.6413793103448275,makeup,eyeliner,eyeshadow,mascara,lipstick,beauty salon,drugstore,ice cream parlor,candy store,clothing store
61,PlayingFlute,0.6774193548387096,flute,violin,clarinet,piano,harp,music studio,soccer field,orchestra pit,football field,volleyball court outdoor
58,PlayingCello,0.7012195121951219,cello,violin,piano,clarinet,oboe,music studio,orchestra pit,soccer field,volleyball court outdoor,ice skating rink outdoor
93,TrampolineJumping,0.7226890756302521,trampoline,jumping,bungee,gymnastics,swimming,swimming pool indoor,swimming pool outdoor,swimming hole,playground,escalator indoor
33,Haircut,0.7692307692307693,hairdresser,hair,beard,beard,stylist,beauty salon,shower,clothing store,laundromat,bathroom
80,Skiing,0.8148148148148148,skiing,skier,snowboard,sledding,tobogganing,ski resort,ski slope,ice skating rink outdoor,mountain snowy,chalet
79,SkateBoarding,0.8166666666666667,skate,skate,skating,skateboard,skateboarding,ice skating rink outdoor,ice skating rink indoor,ski resort,art school,ski slope
64,PlayingSitar,0.8471337579617835,sitar,guitar,violin,harmonica,harmonium,music studio,football field,soccer field,orchestra pit,stadium soccer
40,HorseRace,0.8709677419354839,horse,horse,racing,thoroughbred,thoroughbred,racecourse,corral,arena rodeo,barn,railroad track
10,Biking,0.8731343283582089,bicycling,cycling,bicycle,motorcycling,skiing,mountain,mountain path,mountain snowy,swimming pool outdoor,ice skating rink outdoor
32,GolfSwing,0.8920863309352518,golf,swing,golfer,putter,croquet,golf course,ball pit,swimming hole,volleyball court outdoor,baseball field
63,PlayingPiano,0.8952380952380953,piano,violin,clarinet,guitar,cello,music studio,orchestra pit,soccer field,volleyball court outdoor,basketball court indoor
86,SumoWrestling,0.896551724137931,sumo,wrestling,boxing,judo,boxer,boxing ring,arena hockey,martial arts gym,arena rodeo,volleyball court outdoor
75,Rowing,0.8978102189781022,rowing,boathouse,scull,swimming,canoe,boathouse,swimming pool indoor,boat deck,swimming pool outdoor,swimming hole
6,BaseballPitch,0.9133333333333333,baseball,baseball,softball,softball,bat,stadium baseball,baseball field,stadium soccer,stadium football,soccer field
87,Surfing,0.9365079365079365,surfing,skateboarding,snorkeling,beach,web,beach,ocean,swimming pool outdoor,wave,swimming pool indoor
43,IceDancing,0.9683544303797469,ice,skating,dancer,dancer,rink,ice skating rink outdoor,ice skating rink indoor,ice floe,ice cream parlor,ice shelf
15,Bowling,0.9935483870967742,cricket,cricket,croquet,wicket,wicket,bowling alley,ball pit,ice skating rink indoor,ice skating rink outdoor,swimming hole
11,Billiards,1.0,shuffleboard,racquetball,racquetball,poolroom,croquet,arcade,amusement arcade,swimming pool indoor,swimming pool outdoor,recreation room
