,action_name,accuracy,top_object_0,top_object_1,top_object_2,top_object_3,top_object_4,top_scene_0,top_scene_1,top_scene_2,top_scene_3,top_scene_4
7,Basketball,0.31343283582089554,basketball,basketball,volleyball,volleyball,soccer,basketball court indoor,volleyball court outdoor,stadium soccer,stadium football,soccer field
49,Knitting,0.3252032520325203,knit,shawl,sweater,workbasket,afghan,coffee shop,jewelry shop,fabric store,gift shop,beer garden
52,MilitaryParade,0.336,soldier,reservist,marshal,colonel,regalia,army base,museum outdoor,church outdoor,bazaar outdoor,airfield
21,CliffDiving,0.36231884057971014,cliff,dive,precipice,ledge,snorkeling,cliff,underwater ocean deep,swimming hole,rope bridge,ocean
42,HulaHoop,0.368,hula-hoop,trampoline,gymnastics,tetherball,basketball,basketball court indoor,volleyball court outdoor,ball pit,windmill,rope bridge
53,Mixing,0.40441176470588236,mixer,mixer,recording,mash,blender,music studio,dressing room,chemistry lab,art studio,physics laboratory
14,BodyWeightSquats,0.41964285714285715,weight,weight,body,body,body,martial arts gym,shed,boxing ring,sauna,train interior
13,BlowingCandles,0.42201834862385323,candle,shofar,torch,wick,snuffer,wind farm,fire escape,shower,bow window indoor,fire station
66,PlayingViolin,0.48,violin,piano,cello,clarinet,flute,music studio,orchestra pit,soccer field,volleyball court outdoor,football field
77,ShavingBeard,0.4906832298136646,beard,beard,hair,razor,shaver,ice cream parlor,shower,beauty salon,wet bar,ice skating rink outdoor
22,CricketBowling,0.5107913669064749,cricket,cricket,cricketer,wicket,wicket,bowling alley,stadium baseball,football field,baseball field,stadium soccer
33,Haircut,0.5461538461538461,hairdresser,hair,beard,beard,stylist,beauty salon,shower,clothing store,laundromat,bathroom
27,Fencing,0.5495495495495496,fence,epee,singlestick,archery,gazebo,roof garden,topiary garden,gazebo exterior,lawn,athletic field outdoor
88,Swing,0.5648854961832062,swing,pendulum,ball,ball,ball,ball pit,rope bridge,porch,bowling alley,golf course
29,FloorGymnastics,0.568,gymnastics,floor,floor,floor,gymnast,gymnasium indoor,ballroom,basketball court indoor,volleyball court outdoor,escalator indoor
84,SoccerPenalty,0.5693430656934306,soccer,handball,handball,football,lacrosse,stadium soccer,soccer field,stadium football,football field,arena hockey
5,BandMarching,0.5806451612903226,band,band,drummer,guitarist,bandsman,music studio,rock arch,orchestra pit,army base,stadium football
62,PlayingGuitar,0.6,guitar,violin,piano,harmonica,banjo,music studio,soccer field,football field,stadium soccer,orchestra pit
2,Archery,0.6,archery,archer,crossbow,longbow,rifle,hunting lodge outdoor,bow window indoor,volleyball court outdoor,athletic field outdoor,martial arts gym
25,Diving,0.64,dive,swimming,snorkeling,snorkel,snorkel,underwater ocean deep,swimming hole,swimming pool outdoor,swimming pool indoor,ocean
15,Bowling,0.6516129032258065,cricket,cricket,croquet,wicket,wicket,bowling alley,ball pit,ice skating rink indoor,ice skating rink outdoor,swimming hole
94,Typing,0.6544117647058824,keyboard,typewriter,computer,laptop,mouse,computer room,waiting room,loading dock,office cubicles,server room
93,TrampolineJumping,0.6638655462184874,trampoline,jumping,bungee,gymnastics,swimming,swimming pool indoor,swimming pool outdoor,swimming hole,playground,escalator indoor
40,HorseRace,0.6854838709677419,horse,horse,racing,thoroughbred,thoroughbred,racecourse,corral,arena rodeo,barn,railroad track
41,HorseRiding,0.7012195121951219,horse,horse,riding,rider,ride,arena rodeo,barn,pasture,wind farm,corral
0,ApplyEyeMakeup,0.7103448275862069,makeup,eyeliner,eyeshadow,mascara,lipstick,beauty salon,drugstore,ice cream parlor,candy store,clothing store
91,TennisSwing,0.7228915662650602,tennis,swing,badminton,golf,croquet,volleyball court outdoor,basketball court indoor,ball pit,swimming pool outdoor,golf course
61,PlayingFlute,0.7419354838709677,flute,violin,clarinet,piano,harp,music studio,soccer field,orchestra pit,football field,volleyball court outdoor
80,Skiing,0.7481481481481481,skiing,skier,snowboard,sledding,tobogganing,ski resort,ski slope,ice skating rink outdoor,mountain snowy,chalet
26,Drumming,0.7577639751552795,drum,drum,drummer,percussionist,bongo,music studio,martial arts gym,art studio,rock arch,orchestra pit
58,PlayingCello,0.7621951219512195,cello,violin,piano,clarinet,oboe,music studio,orchestra pit,soccer field,volleyball court outdoor,ice skating rink outdoor
87,Surfing,0.7857142857142857,surfing,skateboarding,snorkeling,beach,web,beach,ocean,swimming pool outdoor,wave,swimming pool indoor
63,PlayingPiano,0.8380952380952381,piano,violin,clarinet,guitar,cello,music studio,orchestra pit,soccer field,volleyball court outdoor,basketball court indoor
79,SkateBoarding,0.85,skate,skate,skating,skateboard,skateboarding,ice skating rink outdoor,ice skating rink indoor,ski resort,art school,ski slope
64,PlayingSitar,0.8662420382165605,sitar,guitar,violin,harmonica,harmonium,music studio,football field,soccer field,orchestra pit,stadium soccer
32,GolfSwing,0.8776978417266187,golf,swing,golfer,putter,croquet,golf course,ball pit,swimming hole,volleyball court outdoor,baseball field
6,BaseballPitch,0.88,baseball,baseball,softball,softball,bat,stadium baseball,baseball field,stadium soccer,stadium football,soccer field
10,Biking,0.8880597014925373,bicycling,cycling,bicycle,motorcycling,skiing,mountain,mountain path,mountain snowy,swimming pool outdoor,ice skating rink outdoor
86,SumoWrestling,0.9051724137931034,sumo,wrestling,boxing,judo,boxer,boxing ring,arena hockey,martial arts gym,arena rodeo,volleyball court outdoor
75,Rowing,0.9124087591240876,rowing,boathouse,scull,swimming,canoe,boathouse,swimming pool indoor,boat deck,swimming pool outdoor,swimming hole
11,Billiards,1.0,shuffleboard,racquetball,racquetball,poolroom,croquet,arcade,amusement arcade,swimming pool indoor,swimming pool outdoor,recreation room
