,action_name,accuracy,top_object_0,top_object_1,top_object_2,top_object_3,top_object_4,top_scene_0,top_scene_1,top_scene_2,top_scene_3,top_scene_4
67,PoleVault,0.2348993288590604,vault,pole,vault,pole,vaulting,bank vault,barn,lock chamber,doorway outdoor,ice shelf
3,BabyCrawling,0.26515151515151514,baby,baby,crib,crib,bassinet,nursery,childs room,shower,playroom,hospital room
42,HulaHoop,0.272,hula-hoop,trampoline,gymnastics,tetherball,basketball,basketball court indoor,volleyball court outdoor,ball pit,windmill,rope bridge
66,PlayingViolin,0.28,violin,piano,cello,clarinet,flute,music studio,orchestra pit,soccer field,volleyball court outdoor,football field
65,PlayingTabla,0.2972972972972973,sitar,violin,flute,guitar,harmonium,music studio,soccer field,football field,orchestra pit,baseball field
52,MilitaryParade,0.304,soldier,reservist,marshal,colonel,regalia,army base,museum outdoor,church outdoor,bazaar outdoor,airfield
43,IceDancing,0.34810126582278483,ice,skating,dancer,dancer,rink,ice skating rink outdoor,ice skating rink indoor,ice floe,ice cream parlor,ice shelf
62,PlayingGuitar,0.35625,guitar,violin,piano,harmonica,banjo,music studio,soccer field,football field,stadium soccer,orchestra pit
54,MoppingFloor,0.37272727272727274,floor,floor,floor,upstairs,linoleum,basement,clean room,throne room,dressing room,kitchen
7,Basketball,0.373134328358209,basketball,basketball,volleyball,volleyball,soccer,basketball court indoor,volleyball court outdoor,stadium soccer,stadium football,soccer field
13,BlowingCandles,0.3944954128440367,candle,shofar,torch,wick,snuffer,wind farm,fire escape,shower,bow window indoor,fire station
48,Kayaking,0.40425531914893614,kayak,snorkeling,water-skiing,canoe,fly-fishing,swimming pool outdoor,river,swimming pool indoor,hunting lodge outdoor,swimming hole
14,BodyWeightSquats,0.4107142857142857,weight,weight,body,body,body,martial arts gym,shed,boxing ring,sauna,train interior
21,CliffDiving,0.4420289855072464,cliff,dive,precipice,ledge,snorkeling,cliff,underwater ocean deep,swimming hole,rope bridge,ocean
99,WritingOnBoard,0.4605263157894737,board,board,board,drawing,blackboard,art school,computer room,landing deck,boat deck,television room
53,Mixing,0.47058823529411764,mixer,mixer,recording,mash,blender,music studio,dressing room,chemistry lab,art studio,physics laboratory
33,Haircut,0.5,hairdresser,hair,beard,beard,stylist,beauty salon,shower,clothing store,laundromat,bathroom
22,CricketBowling,0.5035971223021583,cricket,cricket,cricketer,wicket,wicket,bowling alley,stadium baseball,football field,baseball field,stadium soccer
77,ShavingBeard,0.515527950310559,beard,beard,hair,razor,shaver,ice cream parlor,shower,beauty salon,wet bar,ice skating rink outdoor
29,FloorGymnastics,0.52,gymnastics,floor,floor,floor,gymnast,gymnasium indoor,ballroom,basketball court indoor,volleyball court outdoor,escalator indoor
5,BandMarching,0.535483870967742,band,band,drummer,guitarist,bandsman,music studio,rock arch,orchestra pit,army base,stadium football
88,Swing,0.549618320610687,swing,pendulum,ball,ball,ball,ball pit,rope bridge,porch,bowling alley,golf course
94,Typing,0.5588235294117647,keyboard,typewriter,computer,laptop,mouse,computer room,waiting room,loading dock,office cubicles,server room
27,Fencing,0.5675675675675675,fence,epee,singlestick,archery,gazebo,roof garden,topiary garden,gazebo exterior,lawn,athletic field outdoor
93,TrampolineJumping,0.6050420168067226,trampoline,jumping,bungee,gymnastics,swimming,swimming pool indoor,swimming pool outdoor,swimming hole,playground,escalator indoor
2,Archery,0.6068965517241379,archery,archer,crossbow,longbow,rifle,hunting lodge outdoor,bow window indoor,volleyball court outdoor,athletic field outdoor,martial arts gym
0,ApplyEyeMakeup,0.6137931034482759,makeup,eyeliner,eyeshadow,mascara,lipstick,beauty salon,drugstore,ice cream parlor,candy store,clothing store
25,Diving,0.6266666666666667,dive,swimming,snorkeling,snorkel,snorkel,underwater ocean deep,swimming hole,swimming pool outdoor,swimming pool indoor,ocean
84,SoccerPenalty,0.6277372262773723,soccer,handball,handball,football,lacrosse,stadium soccer,soccer field,stadium football,football field,arena hockey
26,Drumming,0.7142857142857143,drum,drum,drummer,percussionist,bongo,music studio,martial arts gym,art studio,rock arch,orchestra pit
61,PlayingFlute,0.7225806451612903,flute,violin,clarinet,piano,harp,music studio,soccer field,orchestra pit,football field,volleyball court outdoor
91,TennisSwing,0.7228915662650602,tennis,swing,badminton,golf,croquet,volleyball court outdoor,basketball court indoor,ball pit,swimming pool outdoor,golf course
40,HorseRace,0.7419354838709677,horse,horse,racing,thoroughbred,thoroughbred,racecourse,corral,arena rodeo,barn,railroad track
80,Skiing,0.7851851851851852,skiing,skier,snowboard,sledding,tobogganing,ski resort,ski slope,ice skating rink outdoor,mountain snowy,chalet
79,SkateBoarding,0.8333333333333334,skate,skate,skating,skateboard,skateboarding,ice skating rink outdoor,ice skating rink indoor,ski resort,art school,ski slope
10,Biking,0.8507462686567164,bicycling,cycling,bicycle,motorcycling,skiing,mountain,mountain path,mountain snowy,swimming pool outdoor,ice skating rink outdoor
87,Surfing,0.8650793650793651,surfing,skateboarding,snorkeling,beach,web,beach,ocean,swimming pool outdoor,wave,swimming pool indoor
75,Rowing,0.8686131386861314,rowing,boathouse,scull,swimming,canoe,boathouse,swimming pool indoor,boat deck,swimming pool outdoor,swimming hole
63,PlayingPiano,0.8761904761904762,piano,violin,clarinet,guitar,cello,music studio,orchestra pit,soccer field,volleyball court outdoor,basketball court indoor
64,PlayingSitar,0.8789808917197452,sitar,guitar,violin,harmonica,harmonium,music studio,football field,soccer field,orchestra pit,stadium soccer
58,PlayingCello,0.8963414634146342,cello,violin,piano,clarinet,oboe,music studio,orchestra pit,soccer field,volleyball court outdoor,ice skating rink outdoor
32,GolfSwing,0.8992805755395683,golf,swing,golfer,putter,croquet,golf course,ball pit,swimming hole,volleyball court outdoor,baseball field
6,BaseballPitch,0.9066666666666666,baseball,baseball,softball,softball,bat,stadium baseball,baseball field,stadium soccer,stadium football,soccer field
86,SumoWrestling,0.9137931034482759,sumo,wrestling,boxing,judo,boxer,boxing ring,arena hockey,martial arts gym,arena rodeo,volleyball court outdoor
41,HorseRiding,0.9634146341463414,horse,horse,riding,rider,ride,arena rodeo,barn,pasture,wind farm,corral
15,Bowling,1.0,cricket,cricket,croquet,wicket,wicket,bowling alley,ball pit,ice skating rink indoor,ice skating rink outdoor,swimming hole
11,Billiards,1.0,shuffleboard,racquetball,racquetball,poolroom,croquet,arcade,amusement arcade,swimming pool indoor,swimming pool outdoor,recreation room
