,action_name,accuracy,top_object_0,top_object_1,top_object_2,top_object_3,top_object_4,top_scene_0,top_scene_1,top_scene_2,top_scene_3,top_scene_4
49,Knitting,0.032520325203252036,knit,shawl,sweater,workbasket,afghan,coffee shop,jewelry shop,fabric store,gift shop,beer garden
67,PoleVault,0.040268456375838924,vault,pole,vault,pole,vaulting,bank vault,barn,lock chamber,doorway outdoor,ice shelf
36,HandstandPushups,0.046875,dumbbell,cartwheel,barbell,gymnast,hula-hoop,martial arts gym,rope bridge,boxing ring,shower,sushi bar
97,WalkingWithDog,0.04878048780487805,dog,walk,leash,puppy,pup,kennel outdoor,pet shop,beach house,shopping mall indoor,street
37,HandstandWalking,0.05405405405405406,walk,cartwheel,walker,walker,walker,escalator indoor,crosswalk,rope bridge,doorway outdoor,swimming hole
98,WallPushups,0.06153846153846154,wall,wall,sandbag,dumbbell,ledge,rock arch,rope bridge,alcove,doorway outdoor,martial arts gym
13,BlowingCandles,0.07339449541284404,candle,shofar,torch,wick,snuffer,wind farm,fire escape,shower,bow window indoor,fire station
77,ShavingBeard,0.07453416149068323,beard,beard,hair,razor,shaver,ice cream parlor,shower,beauty salon,wet bar,ice skating rink outdoor
8,BasketballDunk,0.07633587786259542,basketball,basketball,dunker,backboard,backboard,basketball court indoor,volleyball court outdoor,arena hockey,athletic field outdoor,soccer field
53,Mixing,0.08823529411764706,mixer,mixer,recording,mash,blender,music studio,dressing room,chemistry lab,art studio,physics laboratory
54,MoppingFloor,0.09090909090909091,floor,floor,floor,upstairs,linoleum,basement,clean room,throne room,dressing room,kitchen
88,Swing,0.0916030534351145,swing,pendulum,ball,ball,ball,ball pit,rope bridge,porch,bowling alley,golf course
25,Diving,0.10666666666666667,dive,swimming,snorkeling,snorkel,snorkel,underwater ocean deep,swimming hole,swimming pool outdoor,swimming pool indoor,ocean
65,PlayingTabla,0.10810810810810811,sitar,violin,flute,guitar,harmonium,music studio,soccer field,football field,orchestra pit,baseball field
90,TaiChi,0.11,guan,gong,,tam,koto,zen garden,martial arts gym,japanese garden,pagoda,temple asia
5,BandMarching,0.11612903225806452,band,band,drummer,guitarist,bandsman,music studio,rock arch,orchestra pit,army base,stadium football
91,TennisSwing,0.13253012048192772,tennis,swing,badminton,golf,croquet,volleyball court outdoor,basketball court indoor,ball pit,swimming pool outdoor,golf course
52,MilitaryParade,0.136,soldier,reservist,marshal,colonel,regalia,army base,museum outdoor,church outdoor,bazaar outdoor,airfield
57,PizzaTossing,0.1592920353982301,pizza,pasta,lasagna,meatball,flatbread,pizzeria,fastfood restaurant,sushi bar,restaurant kitchen,ice cream parlor
27,Fencing,0.17117117117117117,fence,epee,singlestick,archery,gazebo,roof garden,topiary garden,gazebo exterior,lawn,athletic field outdoor
61,PlayingFlute,0.2064516129032258,flute,violin,clarinet,piano,harp,music studio,soccer field,orchestra pit,football field,volleyball court outdoor
24,CuttingInKitchen,0.20909090909090908,kitchen,bathroom,room,cupboard,edge,kitchen,restaurant kitchen,living room,dining room,clean room
2,Archery,0.2206896551724138,archery,archer,crossbow,longbow,rifle,hunting lodge outdoor,bow window indoor,volleyball court outdoor,athletic field outdoor,martial arts gym
26,Drumming,0.2236024844720497,drum,drum,drummer,percussionist,bongo,music studio,martial arts gym,art studio,rock arch,orchestra pit
41,HorseRiding,0.23780487804878048,horse,horse,riding,rider,ride,arena rodeo,barn,pasture,wind farm,corral
48,Kayaking,0.24113475177304963,kayak,snorkeling,water-skiing,canoe,fly-fishing,swimming pool outdoor,river,swimming pool indoor,hunting lodge outdoor,swimming hole
84,SoccerPenalty,0.26277372262773724,soccer,handball,handball,football,lacrosse,stadium soccer,soccer field,stadium football,football field,arena hockey
99,WritingOnBoard,0.2631578947368421,board,board,board,drawing,blackboard,art school,computer room,landing deck,boat deck,television room
22,CricketBowling,0.2805755395683453,cricket,cricket,cricketer,wicket,wicket,bowling alley,stadium baseball,football field,baseball field,stadium soccer
29,FloorGymnastics,0.288,gymnastics,floor,floor,floor,gymnast,gymnasium indoor,ballroom,basketball court indoor,volleyball court outdoor,escalator indoor
0,ApplyEyeMakeup,0.2896551724137931,makeup,eyeliner,eyeshadow,mascara,lipstick,beauty salon,drugstore,ice cream parlor,candy store,clothing store
16,BoxingPunchingBag,0.3312883435582822,boxing,boxer,boxer,punch,punch,boxing ring,martial arts gym,stadium baseball,arena hockey,swimming hole
21,CliffDiving,0.37681159420289856,cliff,dive,precipice,ledge,snorkeling,cliff,underwater ocean deep,swimming hole,rope bridge,ocean
94,Typing,0.4632352941176471,keyboard,typewriter,computer,laptop,mouse,computer room,waiting room,loading dock,office cubicles,server room
3,BabyCrawling,0.4696969696969697,baby,baby,crib,crib,bassinet,nursery,childs room,shower,playroom,hospital room
62,PlayingGuitar,0.48125,guitar,violin,piano,harmonica,banjo,music studio,soccer field,football field,stadium soccer,orchestra pit
7,Basketball,0.5298507462686567,basketball,basketball,volleyball,volleyball,soccer,basketball court indoor,volleyball court outdoor,stadium soccer,stadium football,soccer field
28,FieldHockeyPenalty,0.5317460317460317,field,field,soccer,lacrosse,football,soccer field,football field,baseball field,arena hockey,field road
93,TrampolineJumping,0.6050420168067226,trampoline,jumping,bungee,gymnastics,swimming,swimming pool indoor,swimming pool outdoor,swimming hole,playground,escalator indoor
82,SkyDiving,0.6181818181818182,dive,swimming,dove,blue,blue,sky,underwater ocean deep,swimming hole,ocean,water tower
10,Biking,0.6194029850746269,bicycling,cycling,bicycle,motorcycling,skiing,mountain,mountain path,mountain snowy,swimming pool outdoor,ice skating rink outdoor
79,SkateBoarding,0.6666666666666666,skate,skate,skating,skateboard,skateboarding,ice skating rink outdoor,ice skating rink indoor,ski resort,art school,ski slope
58,PlayingCello,0.676829268292683,cello,violin,piano,clarinet,oboe,music studio,orchestra pit,soccer field,volleyball court outdoor,ice skating rink outdoor
64,PlayingSitar,0.7388535031847133,sitar,guitar,violin,harmonica,harmonium,music studio,football field,soccer field,orchestra pit,stadium soccer
80,Skiing,0.8148148148148148,skiing,skier,snowboard,sledding,tobogganing,ski resort,ski slope,ice skating rink outdoor,mountain snowy,chalet
86,SumoWrestling,0.8275862068965517,sumo,wrestling,boxing,judo,boxer,boxing ring,arena hockey,martial arts gym,arena rodeo,volleyball court outdoor
75,Rowing,0.8467153284671532,rowing,boathouse,scull,swimming,canoe,boathouse,swimming pool indoor,boat deck,swimming pool outdoor,swimming hole
63,PlayingPiano,0.8476190476190476,piano,violin,clarinet,guitar,cello,music studio,orchestra pit,soccer field,volleyball court outdoor,basketball court indoor
32,GolfSwing,0.8920863309352518,golf,swing,golfer,putter,croquet,golf course,ball pit,swimming hole,volleyball court outdoor,baseball field
6,BaseballPitch,0.9133333333333333,baseball,baseball,softball,softball,bat,stadium baseball,baseball field,stadium soccer,stadium football,soccer field
33,Haircut,0.9153846153846154,hairdresser,hair,beard,beard,stylist,beauty salon,shower,clothing store,laundromat,bathroom
87,Surfing,0.9285714285714286,surfing,skateboarding,snorkeling,beach,web,beach,ocean,swimming pool outdoor,wave,swimming pool indoor
72,Rafting,0.9369369369369369,canoe,kayak,raft,snorkeling,fly-fishing,river,raft,canyon,hunting lodge outdoor,swimming pool outdoor
40,HorseRace,0.9435483870967742,horse,horse,racing,thoroughbred,thoroughbred,racecourse,corral,arena rodeo,barn,railroad track
15,Bowling,0.9935483870967742,cricket,cricket,croquet,wicket,wicket,bowling alley,ball pit,ice skating rink indoor,ice skating rink outdoor,swimming hole
43,IceDancing,1.0,ice,skating,dancer,dancer,rink,ice skating rink outdoor,ice skating rink indoor,ice floe,ice cream parlor,ice shelf
11,Billiards,1.0,shuffleboard,racquetball,racquetball,poolroom,croquet,arcade,amusement arcade,swimming pool indoor,swimming pool outdoor,recreation room
