,action_name,accuracy,top_object_0,top_object_1,top_object_2,top_object_3,top_object_4,top_scene_0,top_scene_1,top_scene_2,top_scene_3,top_scene_4
92,ThrowDiscus,0.0,javelin,thrower,monkey-wrench,hammer,hammer,ball pit,athletic field outdoor,baseball field,bow window indoor,wheat field
95,UnevenBars,0.0,bar,bar,bar,rough,brittle,wet bar,bar,sushi bar,ice skating rink indoor,ice skating rink outdoor
70,Punch,0.0,punch,punch,haymaker,pack,pack,boxing ring,watering hole,ice cream parlor,ice shelf,ball pit
30,FrisbeeCatch,0.0,catch,Frisbee,ball,ball,ball,ball pit,volleyball court outdoor,soccer field,baseball field,fire escape
100,YoYo,0.0,gat,homegirl,dun,homeboy,takin,childs room,japanese garden,rice paddy,sushi bar,kindergarden classroom
12,BlowDryHair,0.0,dry,hair,dryer,wig,skin,wet bar,hot spring,shower,beauty salon,desert sand
18,BreastStroke,0.0,nipple,chest,surgery,heart,neck,swimming hole,hospital,nursing home,elevator shaft,canal natural
23,CricketShot,0.0,cricket,cricket,cricketer,wicket,wicket,bowling alley,football field,ball pit,baseball field,soccer field
9,BenchPress,0.0,bench,press,press,press,dumbbell,conference center,conference room,ball pit,locker room,volleyball court outdoor
20,CleanAndJerk,0.0,cleaner,well,well,well,mess,clean room,wet bar,engine room,underwater ocean deep,lake natural
17,BoxingSpeedBag,0.007462686567164179,boxing,bag,bag,bag,duffel,boxing ring,martial arts gym,bowling alley,ball pit,shoe shop
39,HighJump,0.008130081300813009,jumping,level,jumper,jumper,spike,rope bridge,bow window indoor,escalator indoor,cliff,underwater ocean deep
55,Nunchucks,0.015151515151515152,saber,sword,broadsword,machete,quarterstaff,martial arts gym,bowling alley,boxing ring,arcade,rope bridge
28,FieldHockeyPenalty,0.015873015873015872,field,field,soccer,lacrosse,football,soccer field,football field,baseball field,arena hockey,field road
1,ApplyLipstick,0.017543859649122806,lipstick,eyeliner,mascara,eyeshadow,lip-gloss,drugstore,ice cream parlor,beauty salon,clothing store,wet bar
83,SoccerJuggling,0.02040816326530612,soccer,football,juggler,volleyball,volleyball,stadium soccer,soccer field,football field,stadium football,basketball court indoor
35,Hammering,0.02142857142857143,hammer,hammer,hammer,bludgeon,chisel,watering hole,lock chamber,swimming hole,elevator door,ball pit
45,JugglingBalls,0.024793388429752067,ball,ball,ball,juggler,croquet,ball pit,soccer field,bowling alley,swimming hole,baseball field
96,VolleyballSpiking,0.02586206896551724,volleyball,volleyball,soccer,tennis,softball,volleyball court outdoor,soccer field,basketball court indoor,stadium soccer,football field
98,WallPushups,0.03076923076923077,wall,wall,sandbag,dumbbell,ledge,rock arch,rope bridge,alcove,doorway outdoor,martial arts gym
78,Shotput,0.05555555555555555,javelin,thrower,judo,athlete,vaulter,athletic field outdoor,baseball field,basketball court indoor,football field,soccer field
36,HandstandPushups,0.0625,dumbbell,cartwheel,barbell,gymnast,hula-hoop,martial arts gym,rope bridge,boxing ring,shower,sushi bar
19,BrushingTeeth,0.06870229007633588,tooth,tooth,brush,toothbrush,floss,clean room,bathroom,watering hole,canal natural,childs room
72,Rafting,0.07207207207207207,canoe,kayak,raft,snorkeling,fly-fishing,river,raft,canyon,hunting lodge outdoor,swimming pool outdoor
37,HandstandWalking,0.08108108108108109,walk,cartwheel,walker,walker,walker,escalator indoor,crosswalk,rope bridge,doorway outdoor,swimming hole
68,PommelHorse,0.08943089430894309,horse,horse,horseman,dressage,equine,barn,arena rodeo,corral,pasture,racecourse
8,BasketballDunk,0.0916030534351145,basketball,basketball,dunker,backboard,backboard,basketball court indoor,volleyball court outdoor,arena hockey,athletic field outdoor,soccer field
74,RopeClimbing,0.10084033613445378,rope,climber,ledge,bungee,jumping,rope bridge,crevasse,cliff,rock arch,staircase
24,CuttingInKitchen,0.11818181818181818,kitchen,bathroom,room,cupboard,edge,kitchen,restaurant kitchen,living room,dining room,clean room
38,HeadMassage,0.1360544217687075,head,head,therapist,neck,body,shower,sauna,ice cream parlor,beauty salon,jacuzzi indoor
97,WalkingWithDog,0.15447154471544716,dog,walk,leash,puppy,pup,kennel outdoor,pet shop,beach house,shopping mall indoor,street
82,SkyDiving,0.16363636363636364,dive,swimming,dove,blue,blue,sky,underwater ocean deep,swimming hole,ocean,water tower
49,Knitting,0.18699186991869918,knit,shawl,sweater,workbasket,afghan,coffee shop,jewelry shop,fabric store,gift shop,beer garden
67,PoleVault,0.19463087248322147,vault,pole,vault,pole,vaulting,bank vault,barn,lock chamber,doorway outdoor,ice shelf
16,BoxingPunchingBag,0.2085889570552147,boxing,boxer,boxer,punch,punch,boxing ring,martial arts gym,stadium baseball,arena hockey,swimming hole
4,BalanceBeam,0.23148148148148148,balance,balance,beam,light,steelyard,rope bridge,bank vault,bridge,elevator shaft,bow window indoor
42,HulaHoop,0.232,hula-hoop,trampoline,gymnastics,tetherball,basketball,basketball court indoor,volleyball court outdoor,ball pit,windmill,rope bridge
66,PlayingViolin,0.24,violin,piano,cello,clarinet,flute,music studio,orchestra pit,soccer field,volleyball court outdoor,football field
52,MilitaryParade,0.288,soldier,reservist,marshal,colonel,regalia,army base,museum outdoor,church outdoor,bazaar outdoor,airfield
65,PlayingTabla,0.3153153153153153,sitar,violin,flute,guitar,harmonium,music studio,soccer field,football field,orchestra pit,baseball field
3,BabyCrawling,0.3181818181818182,baby,baby,crib,crib,bassinet,nursery,childs room,shower,playroom,hospital room
62,PlayingGuitar,0.3625,guitar,violin,piano,harmonica,banjo,music studio,soccer field,football field,stadium soccer,orchestra pit
54,MoppingFloor,0.36363636363636365,floor,floor,floor,upstairs,linoleum,basement,clean room,throne room,dressing room,kitchen
13,BlowingCandles,0.3853211009174312,candle,shofar,torch,wick,snuffer,wind farm,fire escape,shower,bow window indoor,fire station
53,Mixing,0.3897058823529412,mixer,mixer,recording,mash,blender,music studio,dressing room,chemistry lab,art studio,physics laboratory
14,BodyWeightSquats,0.39285714285714285,weight,weight,body,body,body,martial arts gym,shed,boxing ring,sauna,train interior
88,Swing,0.4198473282442748,swing,pendulum,ball,ball,ball,ball pit,rope bridge,porch,bowling alley,golf course
22,CricketBowling,0.43884892086330934,cricket,cricket,cricketer,wicket,wicket,bowling alley,stadium baseball,football field,baseball field,stadium soccer
48,Kayaking,0.45390070921985815,kayak,snorkeling,water-skiing,canoe,fly-fishing,swimming pool outdoor,river,swimming pool indoor,hunting lodge outdoor,swimming hole
7,Basketball,0.4552238805970149,basketball,basketball,volleyball,volleyball,soccer,basketball court indoor,volleyball court outdoor,stadium soccer,stadium football,soccer field
21,CliffDiving,0.4855072463768116,cliff,dive,precipice,ledge,snorkeling,cliff,underwater ocean deep,swimming hole,rope bridge,ocean
77,ShavingBeard,0.4906832298136646,beard,beard,hair,razor,shaver,ice cream parlor,shower,beauty salon,wet bar,ice skating rink outdoor
99,WritingOnBoard,0.4934210526315789,board,board,board,drawing,blackboard,art school,computer room,landing deck,boat deck,television room
29,FloorGymnastics,0.528,gymnastics,floor,floor,floor,gymnast,gymnasium indoor,ballroom,basketball court indoor,volleyball court outdoor,escalator indoor
94,Typing,0.5294117647058824,keyboard,typewriter,computer,laptop,mouse,computer room,waiting room,loading dock,office cubicles,server room
27,Fencing,0.5495495495495496,fence,epee,singlestick,archery,gazebo,roof garden,topiary garden,gazebo exterior,lawn,athletic field outdoor
5,BandMarching,0.5806451612903226,band,band,drummer,guitarist,bandsman,music studio,rock arch,orchestra pit,army base,stadium football
2,Archery,0.5862068965517241,archery,archer,crossbow,longbow,rifle,hunting lodge outdoor,bow window indoor,volleyball court outdoor,athletic field outdoor,martial arts gym
25,Diving,0.6066666666666667,dive,swimming,snorkeling,snorkel,snorkel,underwater ocean deep,swimming hole,swimming pool outdoor,swimming pool indoor,ocean
33,Haircut,0.6153846153846154,hairdresser,hair,beard,beard,stylist,beauty salon,shower,clothing store,laundromat,bathroom
93,TrampolineJumping,0.6302521008403361,trampoline,jumping,bungee,gymnastics,swimming,swimming pool indoor,swimming pool outdoor,swimming hole,playground,escalator indoor
84,SoccerPenalty,0.635036496350365,soccer,handball,handball,football,lacrosse,stadium soccer,soccer field,stadium football,football field,arena hockey
0,ApplyEyeMakeup,0.6413793103448275,makeup,eyeliner,eyeshadow,mascara,lipstick,beauty salon,drugstore,ice cream parlor,candy store,clothing store
26,Drumming,0.6645962732919255,drum,drum,drummer,percussionist,bongo,music studio,martial arts gym,art studio,rock arch,orchestra pit
61,PlayingFlute,0.6838709677419355,flute,violin,clarinet,piano,harp,music studio,soccer field,orchestra pit,football field,volleyball court outdoor
91,TennisSwing,0.7289156626506024,tennis,swing,badminton,golf,croquet,volleyball court outdoor,basketball court indoor,ball pit,swimming pool outdoor,golf course
43,IceDancing,0.7341772151898734,ice,skating,dancer,dancer,rink,ice skating rink outdoor,ice skating rink indoor,ice floe,ice cream parlor,ice shelf
40,HorseRace,0.782258064516129,horse,horse,racing,thoroughbred,thoroughbred,racecourse,corral,arena rodeo,barn,railroad track
80,Skiing,0.7925925925925926,skiing,skier,snowboard,sledding,tobogganing,ski resort,ski slope,ice skating rink outdoor,mountain snowy,chalet
79,SkateBoarding,0.825,skate,skate,skating,skateboard,skateboarding,ice skating rink outdoor,ice skating rink indoor,ski resort,art school,ski slope
10,Biking,0.835820895522388,bicycling,cycling,bicycle,motorcycling,skiing,mountain,mountain path,mountain snowy,swimming pool outdoor,ice skating rink outdoor
75,Rowing,0.8613138686131386,rowing,boathouse,scull,swimming,canoe,boathouse,swimming pool indoor,boat deck,swimming pool outdoor,swimming hole
64,PlayingSitar,0.8662420382165605,sitar,guitar,violin,harmonica,harmonium,music studio,football field,soccer field,orchestra pit,stadium soccer
58,PlayingCello,0.8780487804878049,cello,violin,piano,clarinet,oboe,music studio,orchestra pit,soccer field,volleyball court outdoor,ice skating rink outdoor
32,GolfSwing,0.8992805755395683,golf,swing,golfer,putter,croquet,golf course,ball pit,swimming hole,volleyball court outdoor,baseball field
6,BaseballPitch,0.9133333333333333,baseball,baseball,softball,softball,bat,stadium baseball,baseball field,stadium soccer,stadium football,soccer field
86,SumoWrestling,0.9137931034482759,sumo,wrestling,boxing,judo,boxer,boxing ring,arena hockey,martial arts gym,arena rodeo,volleyball court outdoor
87,Surfing,0.9285714285714286,surfing,skateboarding,snorkeling,beach,web,beach,ocean,swimming pool outdoor,wave,swimming pool indoor
63,PlayingPiano,0.9428571428571428,piano,violin,clarinet,guitar,cello,music studio,orchestra pit,soccer field,volleyball court outdoor,basketball court indoor
41,HorseRiding,0.9817073170731707,horse,horse,riding,rider,ride,arena rodeo,barn,pasture,wind farm,corral
11,Billiards,1.0,shuffleboard,racquetball,racquetball,poolroom,croquet,arcade,amusement arcade,swimming pool indoor,swimming pool outdoor,recreation room
15,Bowling,1.0,cricket,cricket,croquet,wicket,wicket,bowling alley,ball pit,ice skating rink indoor,ice skating rink outdoor,swimming hole
